hair loss-related genes,cellphonedb.pvalue,cellchat.pvalue
ADAMTS1,C1QBP,C1QBP
ADI1,NCL,NCL
AKR1C1,SDC1,SDC1
AKR1C2,,
ANPEP,,
C1QBP,,
CBR1,,
CHCHD2,,
CLDN11,,
CXXC5,,
DCBLD2,,
E2F7,,
EPGN,,
FOSL1,,
GCLM,,
GDF15,,
GNG2,,
HMGCR,,
HMGCS1,,
HOMER3,,
HPCAL1,,
HSP90AB1,,
HSPA5,,
ID1,,
IRS2,,
ITGA5,,
MCM4,,
MRPS24,,
MT1X,,
NAA50,,
NASP,,
NCL,,
OSR1,,
PGF,,
PPP1R15A,,
RAB27B,,
RPL22L1,,
SDC1,,
SH2B3,,
SH3KBP1,,
SLC20A1,,
SLC25A1,,
SLC3A2,,
SLC6A6,,
SLC7A11,,
SMIM29,,
SMIM3,,
SMYD3,,
SRSF6,,
SYNJ2,,
TBX3,,
THBD,,
TMEM158,,
TMPO,,
TNC,,
TNFRSF21,,
TPX2,,
TUBB3,,
UBE2C,,
UBE2E3,,
UBE2S,,
